Id,Text,Topics,Emotions,Valence
11078724,"Yo, I really am interisted in this story so please continue. Oy, but why is Seto into Yuugi? I like the way Yami is possesive of Yuugi but I think you should have him be more protected by Yami's Spell(?) and what I mean is that Yuugi should be able to bloke himself from Yami, sort of like he can use a spell or magic.? Well luck and continue so I can still read this. Dark K PS: UPDATE!","Targeted positive and corrective/constructive,Discussion about the story,Update encouragement","Confused,Like",Positive
2473198,"Ya pas a dire, j'aime beaucoup ta fic ! lol D'ailleurs n'y aurait il pas bientot du ItaNaru ? lol En tout cas l'est très bien ton histoire. Du coup jm'en retrouve avec plein de questions : Va t il se passer quelque chose entre Naruto et Itachi ? Naruto va t il retrouver Sasuke ? Naruto réussira t il a s'enfuir ? Mais que va t il se passer ? En fin bref tu vois le truc...lol Alors pour éviter cet effusion de questions et de problematiques dans mon esprit mdrr, pourrais tu mettre la suite très prochainement ? (Jsuis pas trop exigeante deja..XD, mais c'est parce que ça m'a plus ). Enfin bon, te souhaite bon courage pour la suite, que j'attend evidemment avec énormement d'impatience ! A la prochaine ! bis",Miscellaneous,Unknown,Unknown
4722981,wow amazeing lol,Shallow positive,Like,Positive
4344189,Good story and good protrayal of the characters so far. Keep doing it this way.,Targeted positive and corrective/constructive,Like,Positive
10457631,I really like where this story is going.. Please update when you can...,"Targeted positive,Update encouragement",Like,Positive
11209107,Yay! They're doing it! D,Shallow positive,Like,Positive
5258806,Wkwkwkwkwkwkwk- Sip,Miscellaneous,Unknown,Unknown
1047676,Plz make more!,Update encouragement,Like,Positive
3469597,This is so cool please update soon,"Shallow positive,Update encouragement",Like,Positive
11379089,"More, more, more! Really good work katzish, looking forward to more. Your best piece to date. Keep going m(_","Shallow positive,Update encouragement","Like,Anticipation / Hope",Positive
5502654,"Ff nie gak update lagi kah chingu? Q pengen tau lanjutannya sampai end. I love chanbaek. #apalagi gs AU cepet update ya chingu, gomawo",Miscellaneous,Unknown,Unknown
6846644,NEXT CHAPTER PLEASE! I allready become your big fans here.. my.. how could u meke me so addicted to these story.. AWESOME!,"Shallow positive,Update encouragement","Joy / Happiness,Like",Positive
2799782,"Dios! me quito el sombrero ante tu historia amiga, verdaderamente que poder que dominio tienes de la narrativa.. estoy sin palabras! felicitaciones en verdad, me encanto ... lo unico es que a mi ( es mi opinion particular) la parejita temari naruto, es tan rara... pero por el resto increible en verdad... bueno por fis postea pronto que esperar meses para leer la verdad es una tortura cuando la historia es demasiado buena... una joya! un abrazo",Miscellaneous,Unknown,Unknown
11814223,"Okay hi (I'm using this because it won't let me review again) I was thinking about this story bc I absolutely love it you're an amazing writer and I realized that the songs ""together"" by the xx really suits the mood of the story I just kept listening to it and thinking about them...",Shallow positive,"Joy / Happiness,Like",Positive
8876801,"Bon, j'avoue, je me suis accordée mon petit plaisir. Et j'avoue également que je n'en suis pas déçue. J'aimes la relation Lily/Sirius - elle me fait bien rire. Quand au reste, je ne m'attendais pas du tout à cette fin. Et je suis scotchée. Faites qu'il dise oui, d'accord. Ou même non. Ou bien... Rhooo. Je sais pas... En tout cas, j'espère que maintenant qu'on a un peu plus vu la relation de Lily avec Sirius, on verra un peu plus la relation d'amitié entre James et les filles... LA SUITE ! C'EST POSSIBLE ?",Miscellaneous,Unknown,Unknown
10684828,"There, aren't I nice, I logged out so I could review the same chapter twice. And that was NOT meant to rhyme. *shudder* This was very interesting, and I understood about 50 percent of it, which was just about enough :P I'll have to dig out all the Star Wars tapes...though since we've moved house, no one can find anything. Anyway... It's very clever how you're weaving the story into another world. I'm looking forward to the next installment to see how this pans out! Oh, yeah, and I almost always comment on writing style, so...nice style! OK, I should shut up now. See ya next chapter.","Targeted positive,Discussion not about the story,Update encouragement","Anticipation / Hope,Like",Positive
2287824,there is a few grammatical errors.. the plot was quite abrupt-short to be exact. direct and the setting can easily be pictured. go girl!,Targeted positive and corrective/constructive,Like,Positive
4995118,"lanjuut, emang sih rada berputar2, cuma kalo emang untuk kepentingan cerita ya ga masalah otte, keep writing and hwaiting ne",Miscellaneous,Unknown,Unknown
5491984,Hahahaha..ige mwoya,Miscellaneous,Unknown,Unknown
11396540,Sorry I would love to thanks for accepting me,Two-sided connection,Like,Positive
